c,NO2,NO,N2O,NH4+,N2
2,0,0.310418245,0.130892334,0.382794178,0.219108332
2.1,0,0.316354156,0.130191477,0.372945358,0.218957597
2.2,0,0.322188619,0.12950294,0.363595632,0.218807442
2.3,0,0.32791778,0.128825297,0.354701242,0.218656338
2.4,0,0.333537622,0.128157191,0.34622392,0.218502829
2.5,0,0.339044116,0.127497313,0.338129794,0.218345523
2.6,0,0.344433224,0.126844405,0.330388947,0.21818309
2.7,0,0.349700778,0.126197267,0.322974442,0.218014242
2.8,0,0.354842784,0.125554725,0.315862301,0.217837736
2.9,0,0.359855164,0.124915655,0.309030622,0.217652357
3,0,0.3647339,0.12427896,0.302459656,0.21745693
3.1,0,0.369475075,0.123643576,0.296131326,0.217250297
3.2,0,0.374074728,0.123008466,0.290029037,0.217031321
3.3,0,0.37852924,0.122372618,0.284137505,0.21679888
3.4,0.000435528,0.382834961,0.121735039,0.278442608,0.216551863
3.5,0.00269644,0.386988435,0.121094759,0.272931199,0.216289167
3.6,0.004961987,0.390986434,0.120450822,0.267591079,0.216009679
3.7,0.007248694,0.394825978,0.119802286,0.262410731,0.215712311
3.8,0.009572052,0.398504363,0.119148224,0.257379403,0.215395958
3.9,0.011946856,0.402019064,0.118487716,0.252486875,0.215059489
4,0.01438682,0.405368007,0.117819847,0.247723521,0.214701805
4.1,0.016905074,0.408549277,0.117143719,0.243080184,0.214321745
4.2,0.019513791,0.411561513,0.116458432,0.238548087,0.213918177
4.3,0.022224572,0.414403625,0.115763079,0.23411882,0.213489904
4.4,0.025048246,0.417074929,0.115056775,0.229784299,0.213035751
4.5,0.02799505,0.419575155,0.114338615,0.225536716,0.212554464
4.6,0.03107456,0.42190445,0.113607702,0.22136847,0.212044818
4.7,0.03429583,0.424063389,0.112863135,0.217272164,0.211505483
4.8,0.037667316,0.426052965,0.112103993,0.213240557,0.210935169
4.9,0.041197045,0.427874589,0.111329376,0.209266532,0.210332458
5,0.044892552,0.429530081,0.110538335,0.205343059,0.209695973
5.1,0.048761026,0.431021656,0.109729958,0.201463163,0.209024197
5.2,0.052809304,0.432351905,0.108903266,0.197619892,0.208315633
5.3,0.057043959,0.433523763,0.108057324,0.193806281,0.207568673
5.4,0.061471426,0.434540486,0.107191123,0.190015322,0.206781642
5.5,0.066097854,0.435405707,0.106303689,0.186239924,0.205952825
5.6,0.070929436,0.4361233,0.105393984,0.182472884,0.205080396
5.7,0.07597249,0.436697269,0.104460976,0.178706841,0.204162423
5.8,0.081233212,0.437132039,0.103503605,0.174934234,0.20319691
5.9,0.086718164,0.437432073,0.102520756,0.171147265,0.202181742
6,0.09243418,0.437601969,0.101511336,0.167337831,0.201114684
6.1,0.098388435,0.43764654,0.100474179,0.16349748,0.199993365
6.2,0.104588711,0.437570589,0.099408089,0.159617353,0.198815258
6.3,0.111043273,0.437379041,0.098311861,0.155688096,0.197577729
6.4,0.117761218,0.437076851,0.097184229,0.151699773,0.196277929
6.5,0.124752585,0.43666889,0.096023886,0.147641824,0.194912815
6.6,0.132028437,0.436160086,0.094829467,0.143502869,0.193479141
6.7,0.139601037,0.435555311,0.093599579,0.139270627,0.191973446
6.8,0.147484108,0.434859351,0.092332769,0.134931794,0.190391979
6.9,0.155693124,0.434076889,0.091027523,0.130471754,0.18873071
7,0.164245374,0.433212598,0.089682255,0.125874489,0.186985284
7.1,0.173160634,0.432270957,0.088295317,0.121122163,0.185150928
7.2,0.182461196,0.431256337,0.086865004,0.116194923,0.18322254
7.3,0.192172596,0.430173003,0.085389526,0.111070383,0.181194493
7.4,0.202324199,0.429025104,0.083866963,0.105723097,0.179060638
7.5,0.212949898,0.427816591,0.082295377,0.100123934,0.176814201
7.6,0.22408911,0.426551323,0.080672653,0.094239178,0.174447736
7.7,0.235788137,0.425232975,0.078996642,0.088029339,0.171952908
7.8,0.248101756,0.423865092,0.07726502,0.08144762,0.169320513
7.9,0.261095596,0.422451086,0.075475328,0.07443772,0.16654027
8,0.274849521,0.420994154,0.073625017,0.06693081,0.163600499
8.1,0.289461814,0.419497442,0.071711328,0.058841327,0.160488089
8.2,0.305056598,0.417963894,0.06973137,0.050060223,0.157187915
8.3,0.3217943,0.416396331,0.067682085,0.040444572,0.153682711
8.4,0.339888624,0.414797431,0.065560121,0.029801278,0.149952545
8.5,0.359636992,0.413169732,0.063362017,0.017857319,0.145973941
8.6,0.381476904,0.411515665,0.061083978,0.004204201,0.141719253
8.7,0.394285235,0.409837525,0.058721952,0,0.137155288
8.8,0.403349128,0.408137487,0.056271601,0,0.132241785
8.9,0.412924995,0.406417615,0.053728275,0,0.126929116
9,0.423078553,0.404679839,0.051086818,0,0.12115479
9.1,0.433893974,0.402926028,0.048341806,0,0.114838192
9.2,0.445482299,0.401157911,0.045487246,0,0.107872543
9.3,0.45799577,0.399377134,0.042516631,0,0.100110465
9.4,0.47165219,0.397585249,0.039422753,0,0.091339807
9.5,0.486785413,0.395783725,0.036197838,0,0.081233024
9.6,0.503957006,0.393973951,0.032833243,0,0.0692358
9.7,0.524267603,0.392157213,0.029319308,0,0.054255876
9.8,0.550611049,0.390334749,0.025645458,0,0.033408744
9.9,0.589692525,0.388507713,0.021799762,0,0
10,0.59555403,0.38667719,0.01776878,0,0
10.1,0.601618375,0.384844204,0.013537421,0,0
10.2,0.607901888,0.383009716,0.009088395,0,0
10.3,0.614423385,0.381174631,0.004401984,0,0
10.4,0.620660201,0.379339799,0,0,0
10.5,0.622493984,0.377506016,0,0,0
10.6,0.624325967,0.375674033,0,0,0
10.7,0.626155448,0.373844552,0,0,0
10.8,0.627981766,0.372018234,0,0,0
10.9,0.629804307,0.370195693,0,0,0
11,0.631622484,0.368377516,0,0,0
11.1,0.633435764,0.366564236,0,0,0
11.2,0.635243627,0.364756373,0,0,0
11.3,0.637045606,0.362954394,0,0,0
11.4,0.638841254,0.361158746,0,0,0
11.5,0.640630157,0.359369843,0,0,0
11.6,0.642411926,0.357588074,0,0,0
11.7,0.644186202,0.355813798,0,0,0
11.8,0.645952632,0.354047368,0,0,0
